Program,Year,Period,Geo Level,State,State ANSI,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2020,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,162,154,000"
SURVEY,2019,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,002,936,000"
SURVEY,2018,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,868,207,000"
SURVEY,2017,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,767,571,000"
SURVEY,2016,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,637,082,000"
SURVEY,2015,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,591,923,000"
SURVEY,2014,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,770,700,000"
SURVEY,2013,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,248,859,000"
SURVEY,2012,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,223,810,000"
SURVEY,2011,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,227,827,000"
SURVEY,2010,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,204,192,000"
SURVEY,2009,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,109,396,000"
SURVEY,2008,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,999,233,000"
SURVEY,2007,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,053,948,000"
SURVEY,2006,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"2,016,239,000"
SURVEY,2005,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,813,221,000"
SURVEY,2004,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,731,445,000"
SURVEY,2003,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,758,897,000"
SURVEY,2002,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,667,314,000"
SURVEY,2001,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,347,702,000"
SURVEY,2000,YEAR,STATE,CALIFORNIA,6,0,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN LB, LIVE BASIS",TOTAL,NOT SPECIFIED,"1,288,985,000"
