Program,Year,Period,Week Ending,Geo Level,State,State ANSI,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"7,854,000"
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"7,244,000"
SURVEY,2018,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"11,985,000"
SURVEY,2017,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"12,404,000"
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"17,302,000"
SURVEY,2015,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"18,595,000"
SURVEY,2014,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"18,350,000"
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"32,500,000"
SURVEY,2012,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"38,645,000"
SURVEY,2011,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"48,530,000"
SURVEY,2010,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"36,325,000"
SURVEY,2009,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"41,300,000"
SURVEY,2008,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"48,825,000"
SURVEY,2007,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"29,465,000"
SURVEY,2006,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"20,935,000"
SURVEY,2005,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"28,155,000"
SURVEY,2004,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"36,200,000"
SURVEY,2003,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"36,510,000"
SURVEY,2002,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"31,800,000"
SURVEY,2001,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"35,105,000"
SURVEY,2000,YEAR,,STATE,CALIFORNIA,6,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"37,000,000"
